Latitude (decimal degrees): 36.647
Longitude (decimal degrees): -4.574
Elevation (m): 220.0
month,year
1,2014
2,2007
3,2009
4,2009
5,2006
6,2011
7,2005
8,2012
9,2014
10,2014
11,2009
12,2012
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,11.11,89.9,0.0,-0.0,0.0,324.18,4.68,286.0,99764.0
20140101:0100,11.08,92.29,0.0,-0.0,0.0,324.51,5.01,286.0,99731.0
20140101:0200,11.06,94.69,0.0,-0.0,0.0,324.84,5.34,285.0,99699.0
20140101:0300,11.03,97.08,0.0,-0.0,0.0,325.17,5.68,283.0,99676.0
20140101:0400,11.0,99.48,0.0,-0.0,0.0,325.5,6.01,281.0,99653.0
20140101:0500,10.97,100.0,0.0,-0.0,0.0,325.82,6.34,279.0,99630.0
20140101:0600,10.95,100.0,0.0,-0.0,0.0,326.15,6.67,273.0,99643.0
20140101:0700,10.92,100.0,0.0,-0.0,0.0,326.48,7.0,267.0,99656.0
20140101:0800,11.43,100.0,29.0,0.0,29.0,320.95,5.19,261.0,99669.0
20140101:0900,11.91,97.73,67.0,0.0,67.0,314.73,4.69,260.0,99653.0
20140101:1000,12.39,95.46,376.0,734.93,92.0,308.52,4.18,259.0,99637.0
20140101:1100,12.87,93.19,475.0,797.0,101.0,302.3,3.68,258.0,99621.0
20140101:1200,13.31,90.56,481.0,636.63,160.0,296.08,4.17,259.0,99549.0
20140101:1300,13.75,87.92,490.0,764.97,116.0,289.87,4.66,260.0,99478.0
20140101:1400,14.18,85.29,267.0,134.31,210.0,283.65,5.14,261.0,99406.0
20140101:1500,13.93,90.19,201.0,165.06,149.0,291.52,5.32,259.0,99419.0
20140101:1600,13.68,95.1,54.0,0.0,54.0,299.38,5.49,257.0,99432.0
20140101:1700,13.42,100.0,0.0,-0.0,0.0,307.25,5.67,255.0,99445.0
20140101:1800,13.37,100.0,0.0,-0.0,0.0,318.03,5.48,254.0,99471.0
20140101:1900,13.32,100.0,0.0,-0.0,0.0,328.82,5.28,254.0,99497.0
20140101:2000,13.27,100.0,0.0,-0.0,0.0,339.6,5.09,254.0,99523.0
20140101:2100,13.35,100.0,0.0,-0.0,0.0,342.18,5.01,251.0,99507.0
20140101:2200,13.42,100.0,0.0,-0.0,0.0,344.77,4.92,248.0,99491.0
20140101:2300,13.49,100.0,0.0,-0.0,0.0,347.35,4.84,245.0,99475.0
20140102:0000,13.42,100.0,0.0,-0.0,0.0,346.5,4.69,248.0,99462.0
