Hour,Electric Load (kW)
1,598.671
2,604.832
3,612.374
4,614.44
5,635.939
6,627.139
7,720.316
8,712.634
9,790.577
10,787.236
11,786.36
12,785.495
13,786.571
14,793.697
15,819.853
16,832.729
17,805.136
18,754.803
19,698.317
20,686.816
21,656.678
22,654.358
23,618.04
24,614.961
25,614.959
26,612.901
27,608.552
28,609.052
29,740.627
30,740.773
31,1023.511
32,1163.632
33,1209.066
34,1251.673
35,1253.621
36,1250.495
37,1203.824
38,1246.017
39,1256.231
40,1259.044
41,1265.651
42,1280.175
43,949.425
44,923.951
45,745.67
46,705.315
47,598.29
48,601.73
49,593.036
50,590.769
51,592.13
52,591.404
53,728.519
54,731.703
55,1012.944
56,1146.011
57,1179.198
58,1208.066
59,1214.804
60,1218.955
61,1178.29
62,1212.022
63,1212.955
64,1213.362
65,1224.618
66,1239.989
67,911.224
68,903.312
69,735.936
70,697.165
71,585.128
72,586.233
73,573.77
74,573.659
75,574.101
76,574.359
77,709.943
78,711.167
79,996.362
80,1139.422
81,1177.209
82,1212.63
83,1221.984
84,1224.463
85,1183.098
86,1216.939
87,1217.483
88,1217.787
89,1230.104
90,1246.224
91,915.639
92,908.757
93,742.207
94,704.146
95,591.934
96,592.948
97,580.573
98,580.555
99,580.546
100,580.525
101,715.92
102,717.957
103,1003.094
104,1144.39
105,1180.92
106,1218.858
107,1236.388
108,1245.589
109,1207.617
110,1244.287
111,1247.51
112,1248.638
113,1259.302
114,1271.14
115,936.242
116,926.943
117,758.8
118,719.164
119,603.48
120,595.43
121,576.321
122,575.073
123,574.727
124,574.682
125,712.632
126,714.783
127,1000.584
128,1149.335
129,1182.125
130,1215.596
131,1224.101
132,1228.32
133,1194.44
134,1239.712
135,1248.117
136,1252.955
137,1256.444
138,1265.8
139,923.449
140,913.726
141,743.296
142,700.111
143,586.849
144,587.749
145,575.57
146,574.848
147,574.014
148,574.091
149,606.954
150,606.525
151,702.083
152,830.724
153,835.791
154,954.965
155,963.207
156,966.335
157,935.376
158,927.864
159,927.696
160,838.319
161,845.468
162,823.28
163,761.809
164,754.983
165,621.756
166,622.047
167,589.032
168,589.347
169,559.115
170,558.128
171,557.297
172,556.754
173,589.732
174,589.897
175,685.523
176,677.34
177,758.511
