Latitude (decimal degrees): 37.949
Longitude (decimal degrees): -2.980
Elevation (m): 795.0
month,year
1,2015
2,2014
3,2011
4,2014
5,2015
6,2011
7,2011
8,2007
9,2013
10,2015
11,2015
12,2015
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,4.22,88.43,0.0,-0.0,0.0,282.98,2.46,344.0,93846.0
20150101:0100,3.24,87.49,0.0,-0.0,0.0,279.79,2.19,344.0,93810.0
20150101:0200,2.25,86.55,0.0,-0.0,0.0,276.6,1.92,344.0,93773.0
20150101:0300,1.27,85.61,0.0,-0.0,0.0,273.41,1.65,349.0,93816.0
20150101:0400,0.28,84.67,0.0,-0.0,0.0,270.23,1.38,354.0,93858.0
20150101:0500,-0.7,83.73,0.0,-0.0,0.0,267.04,1.11,359.0,93901.0
20150101:0600,-1.69,82.78,0.0,-0.0,0.0,263.85,0.84,9.0,93985.0
20150101:0700,-2.67,81.84,0.0,-0.0,0.0,260.66,0.57,19.0,94070.0
20150101:0800,2.94,68.0,26.0,0.0,26.0,275.65,1.77,29.0,94155.0
20150101:0900,4.81,62.62,251.0,766.69,51.0,280.02,1.78,50.0,94173.0
20150101:1000,6.67,57.25,390.0,848.14,68.0,284.38,1.79,71.0,94191.0
20150101:1100,8.54,51.87,482.0,892.17,75.0,288.75,1.81,92.0,94210.0
20150101:1200,8.31,51.88,520.0,923.22,72.0,291.55,1.31,95.0,94173.0
20150101:1300,8.08,51.9,492.0,894.86,76.0,294.35,0.81,97.0,94137.0
20150101:1400,7.84,51.91,408.0,855.13,69.0,297.15,0.32,99.0,94101.0
20150101:1500,6.82,58.45,279.0,808.18,49.0,293.03,0.38,110.0,94155.0
20150101:1600,5.8,65.0,111.0,576.76,32.0,288.92,0.45,121.0,94210.0
20150101:1700,4.77,71.54,0.0,-0.0,0.0,284.8,0.51,132.0,94264.0
20150101:1800,4.22,73.77,0.0,-0.0,0.0,282.88,0.46,168.0,94301.0
20150101:1900,3.68,75.99,0.0,-0.0,0.0,280.97,0.4,205.0,94337.0
20150101:2000,3.13,78.22,0.0,-0.0,0.0,279.05,0.34,241.0,94373.0
20150101:2100,2.36,82.38,0.0,-0.0,0.0,278.45,0.59,264.0,94385.0
20150101:2200,1.6,86.54,0.0,-0.0,0.0,277.85,0.84,287.0,94398.0
20150101:2300,0.83,90.7,0.0,-0.0,0.0,277.25,1.09,310.0,94410.0
